"Overlay Data", "Overlay Rows (6000,0010)"
"", "Overlay Columns (6000,0011)"
"", "Overlay Planes (6000,0012)"
"", "Number Of Frames In Overlay (6000,0015)"
"", "Overlay Description (6000,0022)"
"", "Overlay Type (6000,0040)"
"", "Overlay Sub Type (6000,0045)"
"", "Overlay Origin (6000,0050)"
"", "Image Frame Origin (6000,0051)"
"", "Overlay Plane Origin (6000,0052)"
"", "Overlay Compression Code (6000,0060)"
"", "Overlay Compression Originator (6000,0061)"
"", "Overlay Compression Label (6000,0062)"
"", "Overlay Compression Description (6000,0063)"
"", "Overlay Compression Step Pointers (6000,0066)"
"", "Overlay Repeat Interval (6000,0068)"
"", "Overlay Bits Grouped (6000,0069)"
"", "Overlay Bits Allocated (6000,0100)"
"", "Overlay Bits Position (6000,0102)"
"", "Overlay Format (6000,0110)"
"", "Overlay Location (6000,0200)"
"", "Overlay Code Label (6000,0800)"
"", "Overlay Number Of Tables (6000,0802)"
"", "Overlay Code Table Location (6000,0803)"
"", "Overlay Bits For Code Word (6000,0804)"
"", "Overlay Activation Layer (6000,1001)"
"", "Overlay Descriptor Gray (6000,1100)"
"", "Overlay Descriptor Red (6000,1101)"
"", "Overlay Descriptor Green (6000,1102)"
"", "Overlay Descriptor Blue (6000,1103)"
"", "Overlays Gray (6000,1200)"
"", "Overlays Red (6000,1201)"
"", "Overlays Green (6000,1202)"
"", "Overlays Blue (6000,1203)"
"", "ROI Area (6000,1301)"
"", "ROI Mean (6000,1302)"
"", "ROI Standard Deviation (6000,1303)"
"", "Overlay Label (6000,1500)"
"", "Overlay Data (6000,3000)"
"", "Overlay Comments (6000,4000)"
"X (Remove)", "Acquisition Comments (0018,4000)"
"", "Acquisition Context Sequence (0040,0555)"
"", "Acquisition Protocol Description (0018,9424)"
"", "Actual Human Performers Sequence (0040,4035)"
"", "Additional Patient History (0010,21B0)"
"", "Address Trial (0040,A353)"
"", "Admission ID (0038,0010)"
"", "Admitting Diagnoses CodeSequence (0008,1084)"
"", "Admitting Diagnoses Description (0008,1080)"
"", "Allergies (0010,2110)"
"", "Arbitrary (4000,0010)"
"", "Author Observer Sequence (0040,A078)"
"", "Branch Of Service (0010,1081)"
"", "Comments On The Performed Procedure Step (0040,0280)"
"", "Confidentiality Constraint On Patient Data Description (0040,3001)"
"", "Consulting Physician Identification Sequence (0008,009D)"
"", "Content Creator Identification Code Sequence (0070,0086)"
"", "Content Sequence (0040,A730)"
"", "Contribution Description (0018,A003)"
"", "Country Of Residence (0010,2150)"
"", "Current Observer Trial (0040,A307)"
"", "Current Patient Location (0038,0300)"
"", "Custodial Organization Sequence (0040,A07C)"
"", "Date (0040,A121)"
"", "Date Time (0040,A120)"
"", "Data Set Trailing Padding (FFFC,FFFC)"
"", "Derivation Description (0008,2111)"
"", "Digital Signature UID (0400,0100)"
"", "Digital Signatures Sequence (FFFA,FFFA)"
"", "Discharge Diagnosis Code Sequence (0038,0044)"
"", "Discharge Diagnosis Description (0038,0040)"
"", "Distribution Address (4008,011A)"
"", "Distribution Name (4008,0119)"
"", "Ethnic Group (0010,2160)"
"", "Frame Comments (0020,9158)"
"", "Graphic Annotation Sequence (0070,0001)"
"", "Human Performer Code Sequence (0040,4009)"
"", "Human Performer's Name (0040,4037)"
"", "Human Performer's Organization (0040,4036)"
"", "Icon Image Sequence (0088,0200)"
"", "Identifying Comments (0008,4000)"
"", "Image Comments (0020,4000)"
"", "Image Presentation Comments (0028,4000)"
"", "Imaging Service Request Comments (0040,2400)"
"", "Impressions (4008,0300)"
"", "Insurance Plan Identification (0010,1050)"
"", "Intended Recipients of Results Identification Sequence (0040,1011)"
"", "Interpretation Approver Sequence (4008,0111)"
"", "Interpretation Author (4008,010C)"
"", "Interpretation Diagnosis Description (4008,0115)"
"", "Interpretation ID Issuer (4008,0202)"
"", "Interpretation Recorder (4008,0102)"
"", "Interpretation Text (4008,010B)"
"", "Interpretation Transcriber (4008,010A)"
"", "Issuer of Accession Number Sequence (0008,0051)"
"", "Issuer of Admission ID (0038,0011)"
"", "Issuer of Admission ID Sequence (0038,0014)"
"", "Issuer of Patient ID (0010,0021)"
"", "Issuer of Patient ID Qualifiers Sequence (0010,0024)"
"", "Issuer of Service Episode ID (0038,0061)"
"", "MAC (0400,0404)"
"", "Medical Alerts (0010,2000)"
"", "Medical Record Locator (0010,1090)"
"", "Military Rank (0010,1080)"
"", "Modified Attributes Sequence (0400,0550)"
"", "Modified Image Description (0020,3406)"
"", "Modifying Device ID (0020,3401)"
"", "Name of Physician(s) Reading Study (0008,1060)"
"", "Names of Intended Recipients of Results (0040,1010)"
"", "Occupation (0010,2180)"
"", "Operator Identification Sequence (0008,1072)"
"", "Order Callback Phone Number (0040,2010)"
"", "Order Callback Telecom Information (0040,2011)"
"", "Order Entered By (0040,2008)"
"", "Order Enterer's Location (0040,2009)"
"", "Original Attributes Sequence (0400,0561)"
"", "Other Patient IDs (0010,1000)"
"", "Other Patient IDs Sequence (0010,1002)"
"", "Other Patient Names (0010,1001)"
"", "Participant Sequence (0040,A07A)"
"", "Patient's Address (0010,1040)"
"", "Patient Comments (0010,4000)"
"", "Patient State (0038,0500)"
"", "Patient Transport Arrangements (0040,1004)"
"", "Patient's Age (0010,1010)"
"", "Patient's Birth Name (0010,1005)"
"", "Patient's Birth Time (0010,0032)"
"", "Patient's Institution Residence (0038,0400)"
"", "Patient's Insurance Plan Code Sequence (0010,0050)"
"", "Patient's Mother's Birth Name (0010,1060)"
"", "Patient's Primary Language Code Sequence (0010,0101)"
"", "Patient's Primary Language Modifier Code Sequence (0010,0102)"
"", "Patient's Religious Preference (0010,21F0)"
"", "Patient's Size (0010,1020)"
"", "Patient's Size Code Sequence (0010,1021)"
"", "Patient's Telecom Information (0010,2155)"
"", "Patient's Telephone Numbers (0010,2154)"
"", "Patient's Weight (0010,1030)"
"", "Performed Location (0040,0243)"
"", "Performed Procedure Step Description (0040,0254)"
"", "Performed Procedure Step ID (0040,0253)"
"", "Performing Physician Identification Sequence (0008,1052)"
"", "Performing Physician's Name (0008,1050)"
"", "Person Address (0040,1102)"
"", "Person Identification Code Sequence (0040,1101)"
"", "Person Name (0040,A123)"
"", "Person's Telecom Information (0040,1104)"
"", "Person's Telephone Numbers (0040,1103)"
"", "Physician Approving Interpretation (4008,0114)"
"", "Physician(s) Reading Study Identification Sequence (0008,1062)"
"", "Physician(s) of Record (0008,1048)"
"", "Physician(s) of Record Identification Sequence (0008,1049)"
"", "Pre-Medication (0040,0012)"
"", "Pregnancy Status (0010,21C0)"
"", "Reason for Omission Description (300C,0113)"
"", "Reason for the Imaging Service Request (0040,2001)"
"", "Reason for Study (0032,1030)"
"", "Referenced Digital Signature Sequence (0400,0402)"
"", "Referenced Patient Alias Sequence (0038,0004)"
"", "Referenced Patient Photo Sequence (0010,1100)"
"", "Referenced Patient Sequence (0008,1120)"
"", "Referenced SOP Instance MAC Sequence (0400,0403)"
"", "Referring Physician's Address (0008,0092)"
"", "Referring Physician Identification Sequence (0008,0096)"
"", "Referring Physician's Telephone Numbers (0008,0094)"
"", "Region of Residence (0010,2152)"
"", "Request Attributes Sequence (0040,0275)"
"", "Requested Contrast Agent (0032,1070)"
"", "Requested Procedure Comments (0040,1400)"
"", "Requested Procedure ID (0040,1001)"
"", "Requested Procedure Location (0040,1005)"
"", "Requesting Physician (0032,1032)"
"", "Requesting Physician Identification Sequence (0032,1031)"
"", "Requesting Service (0032,1033)"
"", "Requesting Service Code Sequence (0032,1034)"
"", "Responsible Organization (0010,2299)"
"", "Responsible Person (0010,2297)"
"", "Results Comments (4008,4000)"
"", "Results Distribution List Sequence (4008,0118)"
"", "Results ID Issuer (4008,0042)"
"", "Scheduled Human Performers Sequence (0040,4034)"
"", "Scheduled Patient Institution Residence (0038,001E)"
"", "Scheduled Performing Physician Identification Sequence (0040,000B)"
"", "Scheduled Performing Physician's Name (0040,0006)"
"", "Scheduled Procedure Step Description (0040,0007)"
"", "Series Description (0008,103E)"
"", "Series Description Code Sequence (0008,103F)"
"", "Service Episode Description (0038,0062)"
"", "Service Episode ID (0038,0060)"
"", "Smoking Status (0010,21A0)"
"", "Special Needs (0038,0050)"
"", "Study Comments (0032,4000)"
"", "Study Description (0008,1030)"
"", "Study ID Issuer (0032,0012)"
"", "Telephone Number (Trial) (0040,A354)"
"", "Text Comments (4000,4000)"
"", "Text String (2030,0020)"
"", "Text Value (0040,A160)"
"", "Time (0040,A122)"
"", "Topic Author (0088,0910)"
"", "Topic Keywords (0088,0912)"
"", "Topic Subject (0088,0906)"
"", "Topic Title (0088,0904)"
"", "Verbal Source (Trial) (0040,A352)"
"", "Verbal Source Identifier Code Sequence (Trial) (0040,A358)"
"", "Visit Comments (0038,4000)"
"", "Institution Address (0008,0081)"
"", "Institutional Department Name (0008,1040)"
"", "Cassette ID (0018,1007)"
"", "Gantry ID (0018,1008)"
"", "Generator ID (0018,1005)"
"", "Performed Station AE Title (0040,0241)"
"", "Performed Station Geographic Location Code Sequence (0040,4030)"
"", "Performed Station Name (0040,0242)"
"", "Performed Station Name Code Sequence (0040,4028)"
"", "Plate ID (0018,1004)"
"", "Scheduled Procedure Step Location (0040,0011)"
"", "Scheduled Station AE Title (0040,0001)"
"", "Scheduled Station Geographic Location Code Sequence (0040,4027)"
"", "Scheduled Station Name (0040,0010)"
"", "Scheduled Station Name Code Sequence (0040,4025)"
"", "Scheduled Study Location (0032,1020)"
"", "Scheduled Study Location (0032,1020)"
"", "Scheduled Study Location AE Title (0032,1021)"
"", "Source Serial Number (3008,0105)"
"", "Curve Date (0008,0025)"
"", "Curve Time (0008,0035)"
"", "Expected Completion Date Time (0040,4011)"
"", "Instance Coercion Date Time (0008,0015)"
"", "Instance Creation Date (0008,0012)"
"", "Instance Creation Time (0008,0013)"
"", "Last Menstrual Date (0010,21D0)"
"", "Observation Date Time (0040,A032)"
"", "Observation Date (Trial) (0040,A192)"
"", "Observation Time (Trial) (0040,A193)"
"", "Overlay Date (0008,0024)"
"", "Overlay Time (0008,0034)"
"", "Performed Procedure Step End Date (0040,0250)"
"", "Performed Procedure Step End Date Time (0040,4051)"
"", "Performed Procedure Step End Time (0040,0251)"
"", "Performed Procedure Step Start Date (0040,0244)"
"", "Performed Procedure Step Start Date Time (0040,4050)"
"", "Performed Procedure Step Start Time (0040,0245)"
"", "Performed Procedure Step Cancellation Date Time (0040,4052)"
"", "Scheduled Procedure Step End Date (0040,0004)"
"", "Scheduled Procedure Step End Time (0040,0005)"
"", "Scheduled Procedure Step Modification Date Time (0040,4010)"
"", "Scheduled Procedure Step Start Date (0040,0002)"
"", "Scheduled Procedure Step Start Date Time (0040,4005)"
"", "Scheduled Procedure Step Start Date (0040,0003)"
"", "Timezone Offset From UTC (0008,0201)"
