"**Transfer**"
"Macular Grid Thickness and Volume Report Storage", "Yes", "Yes"
"Ophthalmic Visual Field Static Perimetry Measurements Storage", "Yes", "Yes"
"Ophthalmic Thickness Map Storage", "Yes", "Yes"
"Corneal Topography Map Storage", "Yes", "Yes"
"Basic Text SR Storage", "Yes", "Yes"
"Enhanced SR Storage", "Yes", "Yes"
"Comprehensive SR Storage", "Yes", "Yes"
"Comprehensive 3D SR Storage", "Yes", "Yes"
"Extensible SR Storage", "Yes", "Yes"
"Procedure Log Storage", "Yes", "Yes"
"Mammography CAD SR Storage", "Yes", "Yes"
"Key Object Selection Document Storage", "Yes", "Yes"
"Chest CAD SR Storage", "Yes", "Yes"
"X-Ray Radiation Dose SR Storage", "Yes", "Yes"
"Radiopharmaceutical Radiation Dose SR Storage", "Yes", "Yes"
"Colon CAD SR Storage", "Yes", "Yes"
"Implantation Plan SR Storage", "Yes", "Yes"
"Encapsulated PDF Storage", "Yes", "Yes"
"Encapsulated CDA Storage", "Yes", "Yes"
"Positron Emission Tomography Image Storage", "Yes", "Yes"
"Legacy Converted Enhanced PET Image Storage", "Yes", "Yes"
"Enhanced PET Image Storage", "Yes", "Yes"
"RT Image Storage", "Yes", "Yes"
"RT Dose Storage", "Yes", "Yes"
"RT Structure Set Storage", "Yes", "Yes"
"RT Beams Treatment Record Storage", "Yes", "Yes"
"RT Plan Storage", "Yes", "Yes"
"RT Brachy Treatment Record Storage", "Yes", "Yes"
"RT Treatment Summary Record Storage", "Yes", "Yes"
"RT Ion Plan Storage", "Yes", "Yes"
"RT Ion Beams Treatment Record Storage", "Yes", "Yes"
"Private Agfa Basic Attribute Presentation State", "Yes", "Yes"
"Private Agfa Arrival Transaction", "Yes", "Yes"
"Private Agfa Dictation Transaction", "Yes", "Yes"
"Private Agfa Report Transcription Transaction", "Yes", "Yes"
"Private Agfa Report Approval Transaction", "Yes", "Yes"
"Private TomTec Annotation Storage", "Yes", "Yes"
"Private Toshiba US Image Storage", "Yes", "Yes"
"Private Fuji CR Image Storage", "Yes", "Yes"
"Private GE Collage Storage", "Yes", "Yes"
"Private ERAD Practice Builder Report Text Storage", "Yes", "Yes"
"Private ERAD Practice Builder Report Dictation Storage", "Yes", "Yes"
"Private Philips HP Live 3D 01 Storage", "Yes", "Yes"
"Private Philips HP Live 3D 02 Storage", "Yes", "Yes"
"Private GE 3D Model Storage", "Yes", "Yes"
"Private GE Dicom CT Image Info Object", "Yes", "Yes"
"Private GE Dicom Display Image Info Object", "Yes", "Yes"
"Private GE Dicom MR Image Info Object", "Yes", "Yes"
"Private GE eNTEGRA Protocol or NM Genie Storage", "Yes", "Yes"
"Private GE PET Raw Data Storage", "Yes", "Yes"
"Private GE RT Plan Storage", "Yes", "Yes"
"Private PixelMed Legacy Converted Enhanced CT Image Storage", "Yes", "Yes"
"Private PixelMed Legacy Converted Enhanced MR Image Storage", "Yes", "Yes"
"Private PixelMed Legacy Converted Enhanced PET Image Storage", "Yes", "Yes"
"Private PixelMed Floating Point Image Storage", "Yes", "Yes"
"Private Siemens CSA Non Image Storage", "Yes", "Yes"
"Private Siemens CT MR Volume Storage", "Yes", "Yes"
"Private Siemens AX Frame Sets Storage", "Yes", "Yes"
"Private Philips Specialised XA Storage", "Yes", "Yes"
"Private Philips CX Image Storage", "Yes", "Yes"
"Private Philips 3D Presentation State Storage", "Yes", "Yes"
"Private Philips VRML Storage", "Yes", "Yes"
"Private Philips Volume Set Storage", "Yes", "Yes"
"Private Philips Volume Storage (Retired)", "Yes", "Yes"
"Private Philips Volume Storage", "Yes", "Yes"
"Private Philips 3D Object Storage (Retired)", "Yes", "Yes"
"Private Philips 3D Object Storage", "Yes", "Yes"
"Private Philips Surface Storage (Retired)", "Yes", "Yes"
"Private Philips Surface Storage", "Yes", "Yes"
"Private Philips Composite Object Storage", "Yes", "Yes"
"Private Philips MR Cardio Profile Storage", "Yes", "Yes"
"Private Philips MR Cardio Storage (Retired)", "Yes", "Yes"
"Private Philips MR Cardio Storage", "Yes", "Yes"
"Private Philips CT Synthetic Image Storage", "Yes", "Yes"
"Private Philips MR Synthetic Image Storage", "Yes", "Yes"
"Private Philips MR Cardio Analysis Storage (Retired)", "Yes", "Yes"
"Private Philips MR Cardio Analysis Storage", "Yes", "Yes"
"Private Philips CX Synthetic Image Storage", "Yes", "Yes"
"Private Philips Perfusion Storage", "Yes", "Yes"
"Private Philips Perfusion Image Storage", "Yes", "Yes"
"Private Philips X-Ray MF Storage", "Yes", "Yes"
"Private Philips Live Run Storage", "Yes", "Yes"
"Private Philips Run Storage", "Yes", "Yes"
"Private Philips Reconstruction Storage", "Yes", "Yes"
"Private Philips MR Spectrum Storage", "Yes", "Yes"
"Private Philips MR Series Data Storage", "Yes", "Yes"
"Private Philips MR Color Image Storage", "Yes", "Yes"
"Private Philips MR Examcard Storage", "Yes", "Yes"
"Private PMOD Multi-frame Image Storage", "Yes", "Yes"
"Storage Commitment Push Model SOP Class", "No", "Yes"
"**Workflow Management**"
"Modality Performed Procedure Step", "Yes", "Yes"
"**Query/Retrieve**"
"Patient Root Query/Retrieve Information Model - FIND", "No", "Yes"
"Patient Root Query/Retrieve Information Model - MOVE", "Yes", "Yes"
"Patient Root Query/Retrieve Information Model - GET", "No", "Yes"
"Study Root Query/Retrieve Information Model - FIND", "No", "Yes"
"Study Root Query/Retrieve Information Model - MOVE", "Yes", "Yes"
"Study Root Query/Retrieve Information Model - GET", "No", "Yes"
"**Query by ID for DICOM Objects (QIDO)**"
"QIDO-RS - Search for Studies", "No", "Yes"
"QIDO-RS - Search for Series", "No", "Yes"
"QIDO-RS - Search for Instances", "No", "Yes"
"**WADO**"
"WADO-URI - Retrieve DICOM Persistent Object", "No", "Yes"
"WADO-URI - Retrieve Rendered DICOM Persistent Object", "No", "Yes"
